name,id,genre,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Needed Me,4pAl7FkDMNBsjykPXo91B3,dance,Rihanna,82.0,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,0
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,dance,Flo Rida,84.0,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,3
Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,dance,Doja Cat,83.0,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,0
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,dance,Kesha,83.0,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,3
Just Look Up (From Don’t Look Up),3QPBocWfIcOCdFFvmqn60F,dance,Ariana Grande,83.0,0.566,0.581,9,-5.181,1,0.043,0.216,0.0,0.0853,0.152,130.043,2
Like I Can,2TeLIzFBe3hxkPR5FIQZut,dance,Sam Smith,85.0,0.656,0.627,7,-6.627,0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,3
The Business,6f3Slt0GbA2bPZlz0aIFXN,dance,Tiësto,89.0,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,0
I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,dance,Black Eyed Peas,75.0,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,1
t r a n s p a r e n t s o u l feat. Travis Barker,1QL7nSDZCwZMnbisV4KOXt,dance,WILLOW,79.0,0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021,3
Toxic,6I9VzXrHxO9rA9A5euc8Ak,dance,Britney Spears,84.0,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,3
Rules,1TMWcbxL5YF8rKsFHv5hAP,dance,Doja Cat,81.0,0.651,0.724,7,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,1
Truth Hurts,3HWzoMvoF3TQfYg4UPszDq,dance,Lizzo,78.0,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,3
Bad Romance,0SiywuOBRcynK0uKGWdCnn,dance,Lady Gaga,84.0,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,1
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,dance,Shakira,85.0,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,dance,Riton,89.0,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,1
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,dance,The Killers,85.0,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,2
motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,dance,Ariana Grande,81.0,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,3
Santa's Coming for Us,1N1ZpYUJc9fwrqk53FGgWv,dance,Sia,84.0,0.547,0.814,1,-6.191,1,0.12,0.0215,0.0,0.0475,0.724,92.986,1
Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,dance,Joel Corry,87.0,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,1
Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,dance,Doja Cat,80.0,0.879,0.498,4,-6.027,0,0.18,0.239,0.0,0.0967,0.405,106.044,0
I Like It,58q2HKrzhC3ozto2nDdN4z,dance,Cardi B,82.0,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,3
Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,dance,Diplo,75.0,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,1
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,dance,Rihanna,83.0,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,3
Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,dance,Selena Gomez,84.0,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,4
Shallow,2VxeLyX666F8uXCJ0dZF8B,dance,Lady Gaga,86.0,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,4
Maneater,4wH4dJgrsxONID6KS2tDQM,dance,Nelly Furtado,83.0,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,1
This Christmas,32h59T8q2SonUPJ006lyXt,dance,Christina Aguilera,81.0,0.575,0.744,1,-5.466,1,0.0603,0.0687,0.0,0.0723,0.701,183.79,2
24K Magic,6b8Be6ljOzmkOmFslEb23P,dance,Bruno Mars,81.0,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,1
Sativa,2pg2TiYo9Rb8KeB5JjP7jS,dance,Jhené Aiko,77.0,0.741,0.61,6,-7.34,0,0.0511,0.316,0.0,0.534,0.72,125.99,3
Temperature,0k2GOhqsrxDTAbFFSdNJjT,dance,Sean Paul,82.0,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,3
Cozy Little Christmas,02FaKXXL7KUtRc7K0k54tL,dance,Katy Perry,82.0,0.774,0.608,7,-6.264,1,0.128,0.128,0.0,0.0895,0.56,137.494,1
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,dance,Sam Smith,84.0,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,1
Sucker,22vgEDb5hykfaTwLuskFGD,dance,Jonas Brothers,83.0,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,3
Santa Baby,0cM5URUqqQTpJWonmdzF1J,dance,Kylie Minogue,84.0,0.685,0.391,1,-7.183,1,0.0435,0.744,0.0,0.142,0.443,87.101,4
OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,dance,Joel Corry,89.0,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,1
Paradise,0Rx0DJI556Ix5gBny6EWmn,dance,Bazzi,78.0,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,3
Smokin Out The Window,6M4jdLdM7wLGungMV9gsCS,dance,Bruno Mars,79.0,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,1
One More Sleep,78pn8k7RogKo2oxl0DyX6d,dance,Leona Lewis,85.0,0.638,0.813,11,-3.849,1,0.0362,0.464,0.0,0.344,0.754,112.986,1
Acapulco,3eJH2nAjvNXdmPfBkALiPZ,dance,Jason Derulo,89.0,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062,1
Kings & Queens,7a53HqqArd4b9NF4XAmlbI,dance,Ava Max,84.0,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,3
Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,dance,Miguel,76.0,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,4
God is a woman,5OCJzvD7sykQEKHH7qAC3C,dance,Ariana Grande,82.0,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,2
Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,dance,Train,80.0,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,1
Poker Face,5R8dQOPq8haW94K7mgERlO,dance,Lady Gaga,76.0,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,1
Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,dance,Doja Cat,78.0,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,1
It Will Rain,0RUGuh2uSNFJpGMSsD1F5C,dance,Bruno Mars,72.0,0.576,0.835,2,-6.826,1,0.0486,0.337,0.0,0.082,0.476,150.017,1
Fly As Me,7GuP2hQO9oprADjY3gRhCT,dance,Bruno Mars,78.0,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,1
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),1Ri9P0ZPrqr6h0REDRdJBd,dance,Mariah Carey,83.0,0.648,0.938,1,-3.298,1,0.115,0.0339,1.28e-06,0.0564,0.849,78.496,1
Down,6cmm1LMvZdB5zsCwX5BjqE,dance,Jay Sean,81.0,0.727,0.68,2,-4.498,1,0.0286,0.0101,0.0,0.0821,0.728,132.012,1
Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,dance,Sam Smith,75.0,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,4
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1tkMs9wDPknQ3ZHcKDw1ES,dance,T-Pain,78.0,0.693,0.549,1,-8.141,1,0.119,0.0109,0.0,0.0677,0.605,80.028,1
The Thrill,4wqzOaLxiCRy2Et8tRyNSX,dance,Wiz Khalifa,81.0,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984,3
Electric Feel,3FtYbEfBqAlGO46NUDQSAt,dance,MGMT,79.0,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,1
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,dance,Sean Kingston,81.0,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,3
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4QNpBfC0zvjKqPJcyqBy9W,dance,Pitbull,84.0,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,1
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,dance,Pitbull,83.0,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,1
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,dance,Marshmello,76.0,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042,1
You,2cc8Sw1OnCuA5bV8nqWqpE,dance,Regard,82.0,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,1
Starships,1oHNvJVbFkexQc0BpQp7Y4,dance,Nicki Minaj,75.0,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,3
This City,3H3r2nKWa3Yk5gt8xgmsEt,dance,Sam Fischer,82.0,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877,4
Die Young,7EQGXaVSyEDsCWKmUcfpLk,dance,Kesha,81.0,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,3
The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,dance,Gwen Stefani,74.0,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,1
After Last Night (with Thundercat & Bootsy Collins),0crw01bqnefvDUDjsuKraD,dance,Bruno Mars,78.0,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,3
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,dance,5 Seconds of Summer,74.0,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,2
Begging,1jBGyZKWMcWimImRu1D45f,dance,Dua Lipa,2.0,0.682,0.794,8,-4.558,1,0.0533,0.024,0.0,0.302,0.326,105.944,1
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,dance,Justin Timberlake,79.0,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,3
There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,dance,Shawn Mendes,86.0,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,3
Youngblood,2iUXsYOEPhVqEBwsqP70rE,dance,5 Seconds of Summer,83.0,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,0
Love You Like A Love Song,0laYHRpNTS6i8FXdupHkJ4,dance,Selena Gomez & The Scene,83.0,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,3
Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,dance,Galantis,85.0,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,1
Take Me Out,20I8RduZC2PWMWTDCZuuAN,dance,Franz Ferdinand,81.0,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,3
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,dance,Christina Perri,82.0,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,4
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,dance,Calvin Harris,82.0,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,1
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,dance,Beyoncé,79.0,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,0
Marry You,22PMfvdz35fFKYnJyMn077,dance,Bruno Mars,76.0,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,1
Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,dance,MARINA,81.0,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,3
Don't Go Yet,1058fW9H3fZA6QjYCdOBad,dance,Camila Cabello,88.0,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,3
Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,dance,Demi Lovato,80.0,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,0
Blast Off,5ywsqu9AEJnEJhJ05Vf9Me,dance,Bruno Mars,78.0,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,1
Summer,6YUTL4dYpB9xZO5qExPf05,dance,Calvin Harris,83.0,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,3
Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,dance,Alessia Cara,75.0,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,1
Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,dance,Meghan Trainor,82.0,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,1
This Town,0qvzXomUDJVaUboy2wMfiS,dance,Niall Horan,81.0,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,4
Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,dance,WizKid,79.0,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,1
Tonight Tonight,2i0AUcEnsDm3dsqLrFWUCq,dance,Hot Chelle Rae,76.0,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,1
Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,dance,Ava Max,83.0,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,1
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,dance,Miley Cyrus,80.0,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,3
Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,dance,Kehlani,78.0,0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,2
SexyBack (feat. Timbaland),0O45fw2L5vsWpdsOdXwNAR,dance,Justin Timberlake,81.0,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,3
Don't Start Now,3PfIrDoz19wz7qK7tYeu62,dance,Dua Lipa,85.0,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,3
Freak,3aA6xB0tOilDDX17fIJ0Bl,dance,Doja Cat,77.0,0.688,0.716,7,-5.702,1,0.0385,0.0969,0.0,0.0989,0.373,116.912,1
Mine,7uzmGiiJyRfuViKKK3lVmR,dance,Bazzi,78.0,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,1
Gimme More,6ic8OlLUNEATToEFU3xmaH,dance,Britney Spears,82.0,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,1
O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,dance,Mariah Carey,80.0,0.368,0.505,4,-7.208,1,0.0285,0.367,6.63e-06,0.154,0.192,173.977,2
Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,dance,P!nk,83.0,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,1
U Are My High,3S7A85bAWOd6ltk6r2ANOI,dance,DJ Snake,81.0,0.503,0.783,0,-4.761,0,0.0385,0.0221,0.00223,0.14,0.213,125.122,3
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,dance,Marshmello,81.0,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,1
Paper Planes,1ixbwbeBi5ufN4noUKmW5a,dance,M.I.A.,78.0,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,2
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,dance,Ariana Grande,79.0,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,3
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,dance,Dua Lipa,84.0,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,3
Christmas Without You,1QLZKzC2pjP4ySf4ALrNhm,dance,Ava Max,83.0,0.654,0.596,1,-4.68,1,0.0458,0.424,0.0,0.11,0.382,118.078,1
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,dance,Shawn Mendes,85.0,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,0
Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,dance,DNCE,83.0,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,3
no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,dance,Ariana Grande,81.0,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,3
Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,dance,Soulja Boy,79.0,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,1
Smack That,2kQuhkFX7uSVepCD3h29g5,dance,Akon,72.0,0.939,0.742,5,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,3
All The Things She Said,4bJygwUKrRgq1stlNXcgMg,dance,t.A.T.u.,83.0,0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,3
Heart Attack,1V6gIisPpYqgFeWbMLI0bA,dance,Demi Lovato,82.0,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,2
Just Dance,2x7MyWybabEz6Y6wvHuwGE,dance,Lady Gaga,74.0,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,3
Put On A Smile,4bbJw6usZSqkcmnqjSIOWx,dance,Bruno Mars,77.0,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,2
Replay,5vlEg2fT4cFWAqU5QptIpQ,dance,Iyaz,75.0,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,1
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,dance,Justin Timberlake,75.0,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,1
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,dance,Bebe Rexha,78.0,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,1
Mirrors,4rHZZAmHpZrA3iH5zx8frV,dance,Justin Timberlake,81.0,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,3
No Lie,48QmG1dfvMuYLxMPt7KSRA,dance,Sean Paul,87.0,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,1
Raise Your Glass,1gv4xPanImH17bKZ9rOveR,dance,P!nk,79.0,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,1
Last Friday Night (T.G.I.F.),3avYqdwHKEq8beXbeWCKqJ,dance,Katy Perry,73.0,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,3
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,dance,Kelly Clarkson,74.0,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,1
We Belong Together,3LmvfNUQtglbTrydsdIqFU,dance,Mariah Carey,72.0,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,1
"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,dance,Ciara,76.0,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,3
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,dance,Ellie Goulding,78.0,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,1
No Scrubs,1KGi9sZVMeszgZOWivFpxs,dance,TLC,80.0,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,3
Cpr,35mBYyB61qTcGGj7MXIRM1,dance,cupcakKe,79.0,0.814,0.754,7,-7.571,1,0.113,0.0347,0.00105,0.115,0.534,103.028,1
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,dance,Mike Posner,77.0,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,3
I Don't Do Drugs (feat. Ariana Grande),0FFsgUoFibYISzMxuGS61W,dance,Doja Cat,78.0,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,1
I Want It That Way,47BBI51FKFwOMlIiX6m8ya,dance,Backstreet Boys,82.0,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,3
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,dance,Spice Girls,83.0,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,1
Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,dance,Tove Lo,75.0,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,1
Lil Bit,0NmuYnjETG3u3qx0OmEJev,dance,Nelly,76.0,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,3
Fergalicious,1D066zixBwqFYqBhKgdPzp,dance,Fergie,73.0,0.906,0.584,8,-7.72,0,0.316,0.0576,0.0,0.128,0.831,129.055,0
Make It To Christmas,6RS6rcjnWrdfVuu2U2W2dj,dance,Alessia Cara,81.0,0.522,0.522,2,-7.87,1,0.0383,0.13,0.0,0.438,0.305,77.072,1
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,dance,Hailee Steinfeld,80.0,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,1
My Head & My Heart,1KixkQVDUHggZMU9dUobgm,dance,Ava Max,84.0,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,3
Starving,4Ce37cRWvM1vIGGynKcs22,dance,Hailee Steinfeld,80.0,0.728,0.616,4,-4.238,1,0.0645,0.378,0.0,0.105,0.508,99.962,1
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,dance,Camila Cabello,83.0,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,1
Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,dance,Trey Songz,75.0,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989,1
Shake Up Christmas,1NghHeg0wE32eBYrQBVQXL,dance,Train,81.0,0.458,0.831,0,-2.187,1,0.0654,0.0031,0.0,0.337,0.572,81.531,1
Kids,1jJci4qxiYcOHhQR247rEU,dance,MGMT,80.0,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,2
Memories (feat. Kid Cudi),4dTaAiV9xFFCxnPur9c9yL,dance,David Guetta,70.0,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,0
Under The Mistletoe,2K4XbdyLxi9jhqVQeyUKRK,dance,Kelly Clarkson,79.0,0.437,0.802,2,-5.063,1,0.111,0.0168,0.0,0.086,0.704,178.137,2
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",6IPNp9PfaEqrzotY47TIWy,dance,DJ Snake,86.0,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,3
Bodak Yellow,6KBYefIoo7KydImq1uUQlL,dance,Cardi B,76.0,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,3
Time Machine,1jVjOcs7QeQZJXScbqvofI,dance,WILLOW,76.0,0.606,0.532,3,-6.076,1,0.0416,0.44,0.0,0.132,0.405,81.332,1
Bite Me,4bNa2MHnPB7zckROAHh8mR,dance,Avril Lavigne,80.0,0.491,0.792,8,-4.382,1,0.0699,0.00381,0.0,0.359,0.74,169.997,2
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,dance,The Chainsmokers,82.0,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,2
Strawberries & Cigarettes,3afkJSKX0EAMsJXTZnDXXJ,dance,Troye Sivan,84.0,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909,1
Only,4MRT0dDbhqFKl67WzhUbSw,dance,Nicki Minaj,72.0,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,0
Leave The Door Open,1LPSkqVhWVRUkKE03YUkpB,dance,Bruno Mars,80.0,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,1
The Way,06EL94D0TA27Ik0Ke5usbj,dance,Ariana Grande,71.0,0.645,0.877,5,-3.208,0,0.113,0.294,0.0,0.0759,0.861,82.324,3
One Last Time,7xoUc6faLbCqZO6fQEYprd,dance,Ariana Grande,81.0,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,1
777,4zm8xZiV5FxJu62EHEvZaT,dance,Bruno Mars,76.0,0.836,0.622,1,-11.003,1,0.0946,0.00269,0.000566,0.335,0.892,102.015,1
